sku,Vendor SKU,Vendor,Vendor Description,Category,Category Description,Description,StyleColor,SizeType
#83PROBOWL,,REEB,REEBOK,585,M. JERSEYS,PRO BOWL JERSEY,MARIANI,0
1002,,KSWI,NOT FOUND,126,MENS CLASSICS       ,Clasic Luxury ,BLACK,1
0001-002,0001-002,KSWI,NOT FOUND,126,MENS CLASSICS       ,CLASSIC LX,BLK,1
0001-100,0001-100,KSWI,NOT FOUND,120,MENS TENNIS         ,CLASSIC,WHT/WHT,1
001-0020,,OAKL,Oakley,920,SUNGLASSES,SPLIT THUMP 512MB,P BLK/GRY,0
13391,,BIRK,BIRKENSTOCK,160,M/W BIRKENSTOCK,YARA,HABANA,3
002012-04,,OAKL,Oakley,920,SUNGLASSES,DISCREET,JADE,0
002012-05,,OAKL,Oakley,920,SUNGLASSES,DISCREET,BRONZE,0
59461,,BIRK,BIRKENSTOCK,247,WMNS SANDALS,BOSTON,BLK OILED,3
6990101,,DANS,DANSKO,248,WMNS CASUAL/LEISURE,PROFESSIONAL,PAINTSPLAS,3
009096-04,,OAKL,Oakley,920,SUNGLASSES,FUEL CELL,CLEAR,0
009099-01,,OAKL,Oakley,920,SUNGLASSES,SPLIT JACKET,MATTE BLK,0
009198-06,,OAKL,Oakley,920,SUNGLASSES,PULSE,BLACK,0
010-01591-00,,GARM,GARMIN,950,OUTDOOR GEAR,INDEX SMART SCALE,BLACK,0
010-01591-01,,GARM,GARMIN,950,OUTDOOR GEAR,INDEX SMART SCALE,WHITE,0
010-01689-00,,GARM,GARMIN,980,MISC,FORERUNNER 35 GPS,BLACK,0
010-017690-01,,GARM,GARMIN,950,OUTDOOR GEAR,VIVOACTIVE 3,BLACK/SILV,0
010-01769-09,,GARM,GARMIN,950,OUTDOOR GEAR,VIVOACTIVE 3,ROSE GOLD,0
010-01769-11,,GARM,GARMIN,950,OUTDOOR GEAR,VIVOACTIVE 3,BLACK/SLAT,0
010-01847-00,,GARM,GARMIN,950,OUTDOOR GEAR,VIVOFIT 4 S/M,BLACK,0
010-01847-01,,GARM,GARMIN,950,OUTDOOR GEAR,VIVOFIT 4 S/M,WHITE,0
010-01847-03,,GARM,GARMIN,950,OUTDOOR GEAR,VIVOFIT 4 L,BLACK,0
010-01860-00,,GARM,GARMIN,950,OUTDOOR GEAR,BARLIMITER 2,,0
010-01988-20,,GARM,GARMIN,950,OUTDOOR GEAR,FENIX 5 PLUS,CAR GRAY,0
010-02064-00,,GARM,GARMIN,950,OUTDOOR GEAR,INSTINCT GPS,GRAPHITE,0
010-02120-00,,GARM,GARMIN,950,OUTDOOR GEAR,FORERUNNER 245 GPS,BLACK/SLAT,0
010-02156-05,,GARM,GARMIN,950,OUTDOOR GEAR,FORERUNNER 45,BLACK,0
010-02172-21,,GARM,GARMIN,950,OUTDOOR GEAR,VIVOACTIVE 4S,WHITE/ROSE,0
010-02173-11,,GARM,GARMIN,950,OUTDOOR GEAR,VENU,BLACK/SLAT,0
010-02173-21,,GARM,GARMIN,950,OUTDOOR GEAR,VENU,SAND/GOLD,0
010-02174-01,,GARM,GARMIN,950,OUTDOOR GEAR,VIVOACTIVE 4,GRAY/SILV,0
010-02293-10,,GARM,GARMIN,950,OUTDOOR GEAR,SOLAR INSTINCT GPS,GRAPHITE,0
010-02427-00,,GARM,GARMIN,950,OUTDOOR GEAR,VENU SQ,SHADOWGRAY,0
010-03717-54,,GARM,GARMIN,950,OUTDOOR GEAR,FORERUNNER 235 ,BLACK/GRAY,0
10310,,ADID,ADIDAS,356,PRE-SCHOOL    10.5-3,KANADIA TRAIL,BLK/RED,12
010310-GS,,ADID,ADIDAS,350,GRADE SCHOOL   3.5-6,KANADIA TRAIL,BLK/RED,14
01081-109,,KSWI,NOT FOUND,142,MENS CASUAL/LEISURE,NOREN,WHT/NVY,1
01089-019,,KSWI,NOT FOUND,142,MENS CASUAL/LEISURE,MONTRAU,BLK/SILVER,1
010Z-TITANS,,REEB,REEBOK,999,Beanies,BASIC CUFFED TITANS,NAVY,0
11817,,ADID,ADIDAS,250,WOMEN'S SOCCER,ADIPURE TRX,NVY,2
12674,,ADID,ADIDAS,116,MENS SOCCER,PRED ABS,WH/BK/SIL,1
129443,,BIRK,BIRKENSTOCK,247,WMNS SANDALS,ARIZONA EVA,WHITE,3
012V-416,,SOFF,SOFFE,660,W. BRAND SWEAT PANTS,JR SHORT,VIVID BLUE,20
012V-430,,SOFF,SOFFE,660,W. BRAND SWEAT PANTS,JR SHORT,ROYAL,20
012V-630,,SOFF,SOFFE,660,W. BRAND SWEAT PANTS,JR SHORT,PINK,20
13318,,ADID,ADIDAS,247,WMNS SANDALS,CALO,BLK,2
15110,,ADID,ADIDAS,116,MENS SOCCER,COPA MUNDIAL,BLK,1
151211,,BIRK,BIRKENSTOCK,160,M/W BIRKENSTOCK,ARIZONA,STONE BBUC,3
16303,16303,ADID,ADIDAS,140,MENS CROSS TRAINING ,B49 TRAINER D,WHT / NVY,1
16463,16463,ADID,ADIDAS,350,GRADE SCHOOL   3.5-6,CHROMIUM 2,BLK NUBUCK,14
16537,16537,ADID,ADIDAS,140,MENS CROSS TRAINING ,B49 TRAINER 4E,WHT/NVY   ,1
16680,,ADID,ADIDAS,241,WMNS FITNESS/X-TRAIN,RISLAW,WT/TBLU/M,2
171481,,BIRK,BIRKENSTOCK,160,M/W BIRKENSTOCK,MAYARI,BLK OIL LT,3
17995,,ADID,ADIDAS,356,PRE-SCHOOL    10.5-3,SS INSPIRED,PNK/WHT,12
18672,,ADID,ADIDAS,350,GRADE SCHOOL   3.5-6,2G 08,WHT/IND,14
18675,,ADID,ADIDAS,358,INFANT/TODDLER  2-10,2G08 SUPERSTAR WIDE,WH/DVA/WH,11
18687,,ADID,ADIDAS,358,INFANT/TODDLER  2-10,2G08 WIDE CF I,WHT/BLK/RD,11
19000,,ADID,ADIDAS,142,MENS CASUAL/LEISURE,SAMBA,BLK/WHT,1
19001,,ADID,ADIDAS,112,MENS BASKETBALL     ,SS 2G,WHT/NAV,1
23288,,ADID,ADIDAS,133,MENS RUNNING,SUPER NOVA CSH,WH/YEL/BLK,1
234531,,BIRK,BIRKENSTOCK,160,M/W BIRKENSTOCK,MILANO SFB,BLK AMALFI,3
2393,,RODA,NOT FOUND,920,SUNGLASSES,RUNNERS WORLD MAG.,MAGAZINE,0
28161,,ADID,ADIDAS,610,W. BRANDED TEES,PERCOLATE 360,FRESHSPLA,20
28367,,ADID,ADIDAS,356,PRE-SCHOOL    10.5-3,HYPERRUN II K,SIL/WH/PNK,12
28368,,ADID,ADIDAS,356,PRE-SCHOOL    10.5-3,HYPERRUN II K,SIL/BLK/BL,12
02-849,,OAKL,Oakley,920,SUNGLASSES,CROWBAR SNOW,BLACK,0
29403,,BIRK,BIRKENSTOCK,247,WMNS SANDALS,SHAKINA,SILVER,3
3003,,HICK,HICKORY,995,SHOE CARE PRODUCTS  ,DEODERANT,,0
30084,,NIKE,NIKE        ,112,MENS BASKETBALL     ,SUPERSTAR II,WHT/BLK,1
31350,31350,ADID,ADIDAS,120,MENS TENNIS         ,SMITH MILLENNIUM,WHT/NVY   ,1
03-363,,OAKL,Oakley,920,SUNGLASSES,FIVES,SIL/FIR,0
03-365,,OAKL,Oakley,920,SUNGLASSES,FIVES,BLK/BLK,0
03-400,,OAKL,Oakley,920,SUNGLASSES,RAVISHING,PRL/BRN,0
03-402,,OAKL,Oakley,920,SUNGLASSES,RAVISHING,BRWN SUGAR,0
03-404,,OAKL,Oakley,920,SUNGLASSES,RAVISHING,BLK/GRY,0
03-430,,OAKL,Oakley,920,SUNGLASSES,FIVES 3.0,BLK/GRY,0
03-432,,OAKL,Oakley,920,SUNGLASSES,FIVES 3.0,SMK/BRZ,0
03-440,,OAKL,Oakley,920,SUNGLASSES,FIVES SQUARED,BLK/GRY,0
03-442,,OAKL,Oakley,920,SUNGLASSES,FIVES SQUARED,RTBR/BRZ,0
34501,,BIRK,BIRKENSTOCK,247,WMNS SANDALS,MILANO NB SFB,COCOA,3
34563,,ADID,ADIDAS,142,MENS CASUAL/LEISURE,SAMBA CLASSIC,BLK/WHT,1
03-460,,OAKL,Oakley,920,SUNGLASSES,OIL RIG,BLK/GREY,42
03-461,,OAKL,Oakley,920,SUNGLASSES,OIL RIG,WHT/TXT,0
03-464,,OAKL,Oakley,920,SUNGLASSES,OIL RIG,BLK/BLKIRI,0
03-471,,OAKL,Oakley,920,SUNGLASSES,GASCAN,BLK/GRY,0
03-472,,OAKL,Oakley,920,SUNGLASSES,GASCAN,BRW/BRZ,0
03-473,,OAKL,Oakley,920,SUNGLASSES,GASCAN,BLK/GRY,0
03-474,,OAKL,Oakley,920,SUNGLASSES,GASCAN,WHT/BLK,0
34814,34814,ADID,ADIDAS,120,MENS TENNIS         ,STAN SMITH CLASSIC,WHT/NVY,1
34859,34859,ADID,ADIDAS,112,MENS BASKETBALL     ,SUPERSTAR AUTO. R.,WHT/BLK,1
03-490,,OAKL,Oakley,920,SUNGLASSES,OIL RIG,BLK/GRY,0
03-492,,OAKL,Oakley,920,SUNGLASSES,OIL RIG,WHT/GRY,0
35100,,NIKE,NIKE        ,990,SOCKS               ,NIKE ELITE 1.5,WHT/RYL,20
03-540,,OAKL,Oakley,920,SUNGLASSES,D-CANTEEN,BLK/GRY,0
03-556,,OAKL,Oakley,920,SUNGLASSES,GASCAN,BRW/IRI,0
03-570,,OAKL,Oakley,920,SUNGLASSES,EYEPATCH,P BLK/WGRY,0
03-578,,OAKL,Oakley,920,SUNGLASSES,EYEPATCH,BRN/BRZ,0
03-581,,OAKL,Oakley,920,SUNGLASSES,SPEECHLESS,RED/IRI,0
03-590,,OAKL,Oakley,920,SUNGLASSES,HIJINX,BLK/GRY,0
03-597,,OAKL,Oakley,920,SUNGLASSES,HIJINX,RTBR/BRZ,0
03-598,,OAKL,Oakley,920,SUNGLASSES,HIJINX,CAMO/GRY,0
03-613,,OAKL,Oakley,920,SUNGLASSES,HALF JACKET,BLK/FIR,0
03-614,,OAKL,Oakley,920,SUNGLASSES,HALF JACKET,BLK/IRI,0
36430,,ADID,ADIDAS,350,GRADE SCHOOL   3.5-6,KANADIA TRAIL,GRY/BLU,14
03-651,,OAKL,Oakley,920,SUNGLASSES,HALF JACKET XLJ,BRN/IRI,0
36516,,ADID,ADIDAS,353,KIDS SHOES,SAMBA CLASSIC J,BLK/WHT,17
036516K,,ADID,ADIDAS,353,KIDS SHOES,SAMBA CLASSIC J,BLK/WHT,11
03-701,,OAKL,Oakley,920,SUNGLASSES,ANTIX BLACK,BLK/TORT,0
03-729,,OAKL,Oakley,920,SUNGLASSES,FLAUNT,PLSHD WHT,0
03-782,,OAKL,Oakley,920,SUNGLASSES,COMMIT SQ,BRONZE,0
03-784,,OAKL,Oakley,920,SUNGLASSES,COMMIT,PLSH/WHT,0
03-786,,OAKL,Oakley,920,SUNGLASSES,COMMIT SQ,BRW/BLK,0
03-788,,OAKL,Oakley,920,SUNGLASSES,COMMIT,BRZ/BRZ,0
37958,37958,ADID,ADIDAS,237,WMNS RUNNING,ESCALATE,DARK NAVY,2
03-797,,OAKL,Oakley,920,SUNGLASSES,COMMIT SQ,YEL/BLK,0
38417,38417,ADID,ADIDAS,120,MENS TENNIS         ,SMITH HARDWARE II,WHT/NVY,1
03-881,,OAKL,Oakley,920,SUNGLASSES,FLAK JACKET,BLK/IRI,0
03-883,,OAKL,Oakley,920,SUNGLASSES,FLAK JACKET,RED/IRI,0
03-890,,OAKL,Oakley,920,SUNGLASSES,FLAK JACKET,CRBN/IRI,0
03-899,,OAKL,Oakley,920,SUNGLASSES,FLAK JACKET XLJ,BLK/FIRE,0
03-903,,OAKL,Oakley,920,SUNGLASSES,FLAK JACKET XLJ,NAVY,0
03-904,,OAKL,Oakley,920,SUNGLASSES,FLAK JACKET,POL NAVY,0
03-905,,OAKL,Oakley,920,SUNGLASSES,FLAK JACKET,INFRARED,0
03-908,,OAKL,Oakley,920,SUNGLASSES,FLAK JACKET XLJ,WHT,0
03-909,,OAKL,Oakley,920,SUNGLASSES,FLAK JACKET XLJ,BLK,0
03-910,,OAKL,Oakley,920,SUNGLASSES,FLAK JACKET,DRK GREY,0
03-915,,OAKL,Oakley,920,SUNGLASSES,FLAK JACKET XLJ,BLK/BLK,0
03-916,,OAKL,Oakley,920,SUNGLASSES,FLAK JACKET XLJ,GRY/ICE,0
03-931,,OAKL,Oakley,920,SUNGLASSES,FLAK JACKET XLJ,NAVY/BLK,0
4001,,HICK,HICKORY,995,SHOE CARE PRODUCTS  ,SHOE GOO,CLEAR,0
0402-BNPG,,KEEN,Keen,992,BAGS                ,SUNSET,BOSN/POOT,0
4031,,HICK,HICKORY,920,SUNGLASSES,CLEATS,"BLK 1/2""",0
0406-PSSH,,KEEN,Keen,992,BAGS                ,NOPO,POT SOL/BR,0
0406-SPBH,,KEEN,Keen,992,BAGS                ,NOPO,SWET P/BEC,0
0408-BDGG,,KEEN,Keen,992,BAGS                ,PEARL,BOS/D GRY,0
0408-BEGG,,KEEN,Keen,992,BAGS                ,PEARL,BECH/GOL G,0
0408-BGGG,,KEEN,Keen,992,BAGS                ,PEARL,BK/DR GUL,0
04-143,,OAKL,Oakley,920,SUNGLASSES,HALF X,MET/GRY,0
41468,,TENS,TEN SECONDS,996,LACES AND INSOLES,HEX A GEL INSOLES,,20
0416-MPSB,,KEEN,Keen,992,BAGS                ,JAMISON,MUL GRP/SL,0
04-211,,OAKL,Oakley,920,SUNGLASSES,JAWBONE,LIVESTRONG,0
42559,,ADID,ADIDAS,355,KIDS BASEBALL ,TRIPLE STAR 6 LOW,BLK/BLK,17
04-325,,OAKL,Oakley,920,SUNGLASSES,STRAIGHT JACKET,BLK/BLK,0
04-326,,OAKL,Oakley,920,SUNGLASSES,STRAIGHT JACKET,BLD/IRI,0
04-331,,OAKL,Oakley,920,SUNGLASSES,STRAIGHT JACKET,SILVER,0
0434-BRRE,,KEEN,Keen,992,BAGS                ,NORTHRUP,BROWN,0
43699,,ADID,ADIDAS,350,GRADE SCHOOL   3.5-6,TEAM COLOR J,WHT/BLK,14
44460,44460,ADID,ADIDAS,133,MENS RUNNING,RESPONSE TRAIL 10,GRY/YEL,1
44467,44467,ADID,ADIDAS,237,WMNS RUNNING,RESPONSE TRAIL 10,SLATE/YEL/,2
44470,44470,ADID,ADIDAS,133,MENS RUNNING,SUPER NOVA CNTRL,WHT/GRY/RO,1
44637,,ADID,ADIDAS,222,WMNS TENNIS,COURT ACE W,WHT/BLU,2
44649,44649,ADID,ADIDAS,237,WMNS RUNNING,NOVA CUSHION,HAZE/SLATE,2
44653,44653,ADID,ADIDAS,133,MENS RUNNING,NOVA CUSHION,WHT/GRY/RE,1
44670,,ADID,ADIDAS,133,MENS RUNNING,RESP EXTRA M,WHT/BL/GRA,1
44674,,ADID,ADIDAS,237,WMNS RUNNING,RESP EXTRA W,WHT/BL/SIL,2
44866,,ADID,ADIDAS,237,WMNS RUNNING,HAWK W ,WT/GRP/LIL,2
04-515,,OAKL,Oakley,920,SUNGLASSES,MINUTE 2.0,BLK/IRI,0
452761,,BIRK,BIRKENSTOCK,160,M/W BIRKENSTOCK,ARIZONA SFB,HABANA,3
45682,,ADID,ADIDAS,142,MENS CASUAL/LEISURE,SS 2G SLIDE,BLK/SILVER,1
45683,,ADID,ADIDAS,146,MENS SANDALS,SS2G SLIDE 2 M,NAV/WHT,1
46180,,ADID,ADIDAS,112,MENS BASKETBALL     ,OPEN COURT 08,WHT/SILVER,1
46278,,ADID,ADIDAS,356,PRE-SCHOOL    10.5-3,SUPERSTAR 2G ULYRA C,WT/BLK/WT,12
46538,,ADID,ADIDAS,142,MENS CASUAL/LEISURE,ADISSAGE,BLU/SIL,1
46959,,ADID,ADIDAS,350,GRADE SCHOOL   3.5-6,SUPERSTAR 2G J,WT/VITGR,14
0473-BOMD,,KEEN,Keen,992,BAGS                ,SELLWOOD,BLACK,0
47569,,ADID,ADIDAS,352,KIDS SOCCER ,F30.8 TRX,BLK?WHT,14
0475-BGDS,,KEEN,Keen,992,BAGS                ,MIGHTY KEENDOM,BRONZE,0
0475-CRLB,,KEEN,Keen,992,BAGS                ,MIGHTY KEENDOM,CROCUS,0
0478-BOSH,,KEEN,Keen,992,BAGS                ,STEEL BRIDGE,BLK OLIVE,0
0480-BOMD,,KEEN,Keen,992,BAGS                ,ONTARIO,BLK OLIVE,0
0483-VTQZ,,KEEN,Keen,992,BAGS                ,CORONADO TOTE VI,PLUM,0
0484-RERE,,KEEN,Keen,992,BAGS                ,OTL DELUXE,RETHINK,0
0486-RERE,,KEEN,Keen,992,BAGS                ,OTL BAG,RETHINKING,0
0487-BDSG,,KEEN,Keen,992,BAGS                ,NEWPORT DP,BLK,0
48839,,ADID,ADIDAS,350,GRADE SCHOOL   3.5-6,MERUMO USA,LGN/ALT/YL,14
0490-RERE,,KEEN,Keen,992,BAGS                ,CORNELL II,RETHINK,0
0491-RERE,,KEEN,Keen,992,BAGS                ,NORTHRUP 2,,0
0493-RERE,,KEEN,Keen,992,BAGS                ,PARISI 2,,0
0498-BLCK,,KEEN,Keen,992,BAGS                ,COMMUTER 17,BLK,0
05002-173,05002-173,KSWI,NOT FOUND,126,MENS CLASSICS       ,MORLEY,WHT/PLAT,1
0501-IIGN,,KEEN,Keen,992,BAGS                ,GLISAN ,INDIA INK,0
0503-RERE,,KEEN,Keen,992,BAGS                ,HARVEST II TOTE,RETHINKING,0
05-042,,OAKL,Oakley,920,SUNGLASSES,MONSTER PUP,BRN/BRZ,0
0511-SDER,,KEEN,Keen,992,BAGS                ,MONTCLAIR MINI BAG,SHITAKE,0
0512-SDER,,KEEN,Keen,992,BAGS                ,BROOKLYN II TRAVEL,SHITAKE,0
51701,,BIRK,BIRKENSTOCK,247,WMNS SANDALS,ARIZONA,DK BRWN,3
53007,,ADID,ADIDAS,112,MENS BASKETBALL     ,2G 08 ,WT/BLK/SIL,1
53119,,ADID,ADIDAS,350,GRADE SCHOOL   3.5-6,2G 08,WHT/DIVA,14
05-312,,OAKL,Oakley,920,SUNGLASSES,BEHAVE,BER/BLK,0
53120,,ADID,ADIDAS,350,GRADE SCHOOL   3.5-6,2G08 K,WHT/SLVR,17
53131,,ADID,ADIDAS,358,INFANT/TODDLER  2-10,2G 08 WIDE,WT/BL/WT,11
05-314,,OAKL,Oakley,920,SUNGLASSES,BEHAVE,GLD/GLD,0
53143,,ADID,ADIDAS,350,GRADE SCHOOL   3.5-6,2G08 TEAM COLOR,WHT/SIL,14
05-322,,OAKL,Oakley,920,SUNGLASSES,DISOBEY,GREEN,0
53881,,BIRK,BIRKENSTOCK,160,M/W BIRKENSTOCK,FLORIDA,MOCHA,3
54150,,ADID,ADIDAS,237,WMNS RUNNING,ATTUNE CC W,WT/CHW/LPK,2
05-467,,OAKL,Oakley,920,SUNGLASSES,SPLINTER,LIGHT,0
54751,,BIRK,BIRKENSTOCK,160,M/W BIRKENSTOCK,FLORIDA R,NAVY,3
552801,,BIRK,BIRKENSTOCK,160,M/W BIRKENSTOCK,ARIZONA SFB,IRON OIL,3
552811,,BIRK,BIRKENSTOCK,160,M/W BIRKENSTOCK,ARIZONA SFB,TOBACCO,3
05-632,,OAKL,Oakley,920,SUNGLASSES,INMATE,BLK/GRY,0
05-633,,OAKL,Oakley,920,SUNGLASSES,INMATE,CRM/BLK,0
05-647,,OAKL,Oakley,920,SUNGLASSES,SPLINTER,BLK/MIDN,0
05-661,,OAKL,Oakley,920,SUNGLASSES,DART,SLT/GRY,0
05-663,,OAKL,Oakley,920,SUNGLASSES,OAKLEY DART,GOLD,0
05-668,,OAKL,Oakley,920,SUNGLASSES,LIV,POLISH GLD,0
05-720,,OAKL,Oakley,920,SUNGLASSES,RESTLESS,POL GOLD,0
05-743,,OAKL,Oakley,920,SUNGLASSES,HALF WIRE 2.0,LIGHT/BLK,0
05-768,,OAKL,Oakley,920,SUNGLASSES,SQUARE WHISKER,POL CHROME,0
05-788,,OAKL,Oakley,920,SUNGLASSES,IMPATIENT,GLD/BRW,0
05-789,,OAKL,Oakley,920,SUNGLASSES,IMPATIENT,CHROME,0
05-899,,OAKL,Oakley,920,SUNGLASSES,BETRAY,TOR CR/D B,0
05-915,,OAKL,Oakley,920,SUNGLASSES,BELONG,CAR/GLD,0
05-922,,OAKL,Oakley,920,SUNGLASSES,SIDE WAYS,BLACK,42
05-944,,OAKL,Oakley,920,SUNGLASSES,BREATHLESS,BER/BLK,0
05-946,,OAKL,Oakley,920,SUNGLASSES,BREATHLESS,P BLK/W GY,0
05-947,,OAKL,Oakley,920,SUNGLASSES,BREATHLESS,GLD/BRN,0
05-985,,OAKL,Oakley,920,SUNGLASSES,SQUARE WIRE,CRM/IRI,0
05-991,,OAKL,Oakley,920,SUNGLASSES,SIDEWAYS,BRW/BRZ,0
05-994,,OAKL,Oakley,920,SUNGLASSES,SIDEWAYS,FASTPLAID,0
6013,,TENS,TEN SECONDS,995,SHOE CARE PRODUCTS  ,DOUBLE CLEAN,,0
60773,,ADID,ADIDAS,356,PRE-SCHOOL    10.5-3,SUPERCUSH 3,WHT/RED,12
60940,,ADID,ADIDAS,350,GRADE SCHOOL   3.5-6,TEAM COLOR 08,BLK/WHT,14
60950,,ADID,ADIDAS,112,MENS BASKETBALL     ,TS CREATOR,BLK/WHT,1
060B-001,,SOFF,SOFFE,725,K. BRANDED SHORTS,YTH MINI MESH SHORT,BLK,20
060B-430,,SOFF,SOFFE,525,M. BRANDED SHORTS,YTH MINI MESH SHORT,ROYAL,20
060M-001,,SOFF,SOFFE,525,M. BRANDED SHORTS,MINI MESH SHORT,BLACK,20
060M-430,,SOFF,SOFFE,525,M. BRANDED SHORTS,MINI MESH SHORT,ROYAL,20
61160,,ADID,ADIDAS,350,GRADE SCHOOL   3.5-6,FLOATER 08,WHT/SIL,14
06-200,,OAKL,Oakley,920,SUNGLASSES,HALF JACKET EARSOCK,BLK,0
06-201,,OAKL,Oakley,920,SUNGLASSES,HALF JACKET EARSOCK,RTB,0
06-210,,OAKL,Oakley,920,SUNGLASSES,FLAK JACKET ACCY,BLACK,0
06-212,,OAKL,Oakley,920,SUNGLASSES,FLAK JACKET ACCY,WHITE,0
06-213,,OAKL,Oakley,920,SUNGLASSES,FLAK JACKET EARSOCK,SLATE,0
06-214,,OAKL,Oakley,920,SUNGLASSES,FLAK JACKET EARSOCK,RED,0
06-215,,OAKL,Oakley,920,SUNGLASSES,FLAK JACKET EARSOCK,,0
64259,,ADID,ADIDAS,112,MENS BASKETBALL     ,SUPERSTAR 2G ULTRA,WHT,1
06-485,,OAKL,Oakley,920,SUNGLASSES,WIRE ACCESSORY,BLACK,0
06-596,,OAKL,Oakley,920,SUNGLASSES,PRO M EARSOCK,BLK,0
06-598,,OAKL,Oakley,920,SUNGLASSES,ACCESSORY KIT,,0
06-610,,OAKL,Oakley,920,SUNGLASSES,MICROFIBER BAGS,BLK,0
66191,,BIRK,BIRKENSTOCK,142,MENS CASUAL/LEISURE,LONDON,BLACK,3
06-715,,OAKL,Oakley,920,SUNGLASSES,M FRAME LENSE,,0
6790404,,PUMA,PUMA,992,BAGS                ,CELLERATOR TEAM BAG,ROYAL BLUE,0
6790405,,PUMA,PUMA,992,BAGS                ,CELLERATOR TEAM BAG,FOR GRN,0
6790406,,PUMA,PUMA,992,BAGS                ,CELLERATOR TEAM BAG,ORANGE,0
6790407,,PUMA,PUMA,992,BAGS                ,CELLERATOR TEAM BAG,YELLOW,0
6790408,,PUMA,PUMA,992,BAGS                ,CELLERATOR TEAM BAG,RED,0
6790604,,PUMA,PUMA,992,BAGS                ,CELLERATOR TEAM SACK,ROY BLUE,0
6790605,,PUMA,PUMA,992,BAGS                ,CELLERATOR TEAM SACK,FOR GRN,0
6790606,,PUMA,PUMA,992,BAGS                ,CELLERATOR TEAM SACK,ORANGE,0
6790607,,PUMA,PUMA,992,BAGS                ,CELLERATOR TEAM SACK,YELLOW,0
6790608,,PUMA,PUMA,992,BAGS                ,CELLERATOR TEAM SACK,RED,0
07-012,,OAKL,Oakley,920,SUNGLASSES,CLEANING KITS,,0
07018M,,VASQ,VASQUE,144,MENS HIKING,OPPORTUNIST W/P MID,GRAY,1
07-025,,OAKL,Oakley,920,SUNGLASSES,LG SOFT VAULT,BLACK,0
70309,,ADID,ADIDAS,112,MENS BASKETBALL     ,TS LIGHTSWITCH GIL,BK/SND/WHT,1
7048,,HICK,HICKORY,996,LACES AND INSOLES,SUPERLIGHT,MULTI,0
7051,,HICK,HICKORY,996,LACES AND INSOLES,CUSHIONED INSOLE,,1
07084M,,VASQ,VASQUE,144,MENS HIKING,BREEZE LOW,BROWN,1
07093M,,VASQ,VASQUE,245,WMNS HIKING,SCREE,BROWN,2
07166M,,VASQ,VASQUE,144,MENS HIKING,WASATCH,BROWN,1
71923,,BIRK,BIRKENSTOCK,160,M/W BIRKENSTOCK,MAYARI,INS BLU,3
71941,,BIRK,BIRKENSTOCK,160,M/W BIRKENSTOCK,MAYARI,TOFFEE,3
07213M,,VASQ,VASQUE,350,GRADE SCHOOL   3.5-6,BREEZE 2.0,CASTLE,17
07-257,,OAKL,Oakley,920,SUNGLASSES,CARBON FIBER CASE,,0
07-313,,OAKL,Oakley,920,SUNGLASSES,NANOCLEAR,,0
07-346,,OAKL,Oakley,920,SUNGLASSES,JACKET SOFT VAULT,BLACK,0
7.43E+11,,WYR,WYR,962,BRANDED ADJUST. CAPS,MT ROOTS TRUCKER,MAR/WHT,0
7.43E+11,,WYR,WYR,962,BRANDED ADJUST. CAPS,MT ROOTS TRUCKER,CHAR/WHT,0
7.43E+11,,WYR,WYR,962,BRANDED ADJUST. CAPS,MT ROOTS OUTDOOR,BLK/WHT,0
7.43E+11,,WYR,WYR,962,BRANDED ADJUST. CAPS,MT ROOTS OG TRUCKER,GRY/MAR,0
7.43E+11,,WYR,WYR,962,BRANDED ADJUST. CAPS,MT ROOTS FLEXFIT,GRY/WHT,0
7.43E+11,,WYR,WYR,962,BRANDED ADJUST. CAPS,MT ROOTS CONTRAST,CHAR/STON,0
7.43E+11,,WYR,WYR,962,BRANDED ADJUST. CAPS,MT ROOTS TRUCKER,NAVY/WHT,0
7.43E+11,,WYR,WYR,962,BRANDED ADJUST. CAPS,MT ROOTS TRUCKER,MAR/STONE,0
07482M,,VASQ,VASQUE,144,MENS HIKING,BREEZE 2.0 GTX,SLATE BRN,1
752483,,BIRK,BIRKENSTOCK,247,WMNS SANDALS,ARIZONA SFB,BLACK OIL,3
752661,,BIRK,BIRKENSTOCK,160,M/W BIRKENSTOCK,ARIZONA SHEARLING,BLACK,3
75483,,ADID,ADIDAS,133,MENS RUNNING,MICROBOUNCE+,WT/BL/SIL,1
07-582,,OAKL,Oakley,920,SUNGLASSES,SQUARE O HARD CASE,GRAPH,0
07593M,,VASQ,VASQUE,237,WMNS RUNNING,PENDULUM,GARG/VIOL,2
07594M,,VASQ,VASQUE,133,MENS RUNNING,PENDULUM,BLK/BLU,1
76906,,ADID,ADIDAS,140,MENS CROSS TRAINING ,4.3,BLK/BLK,1
77088,,ADID,ADIDAS,221,WMNS BASKETBALL,SUPERSTAR 2G W,WHT/WHT,2
78261,,ADID,ADIDAS,146,MENS SANDALS,ADISSAGE,NAVY,5
78285,,ADID,ADIDAS,350,GRADE SCHOOL   3.5-6,ADISSAGE K,BLK/WHITE,14
78904,,ADID,ADIDAS,112,MENS BASKETBALL     ,2G08 WORLD,WHT/RED,1
0796-004,0796-004,KSWI,NOT FOUND,133,MENS RUNNING,GORZELL ULTRA,BLK/RED,1
0796-019,0796-019,KSWI,NOT FOUND,126,MENS CLASSICS       ,GORZELL ULTRA,BLK/SIL,1
