sku,Vendor SKU,Vendor,Vendor Description,Category,Category Description,Description,StyleColor,SizeType
B42418,,ADID,ADIDAS,112,MENS BASKETBALL     ,CRAZY EXPLOSIVE,NVY/WHT,1
B42419,,ADID,ADIDAS,112,MENS BASKETBALL     ,CRAZY EXPLOSIVE,ROY/WHT,1
B42421,,ADID,ADIDAS,112,MENS BASKETBALL     ,CRAZY EXPLOSIVE,BLK/BLK,1
B42424,,ADID,ADIDAS,112,MENS BASKETBALL     ,CRAZY EXPLOSIVE,WHT/WHT,1
B42425,,ADID,ADIDAS,112,MENS BASKETBALL     ,CRAZYLIGHT BOOST LOW,WHT/WHT,1
B42601,,ADID,ADIDAS,353,KIDS SHOES,CRAZYLIGHT BOOST LO,WHT/BLU,17
B42628,,ADID,ADIDAS,353,KIDS SHOES,NXT LVL SPD IV K,BLK/WHT,17
B42672,,ADID,ADIDAS,112,MENS BASKETBALL     ,LIGHT EM UP 2,BLK/GRY,1
B42673,,ADID,ADIDAS,112,MENS BASKETBALL     ,LIGHT EM UP 2,ROYAL,1
B42785,,ADID,ADIDAS,353,KIDS SHOES,CROSS EM UP 2016 K,PNK/SLV,17
B42786,,ADID,ADIDAS,353,KIDS SHOES,CROSS 'EM UP ,BLK/SLVR,17
B42818,,ADID,ADIDAS,112,MENS BASKETBALL     ,SM CRAZY BOUNCE,USA,1
B42910,,ADID,ADIDAS,353,KIDS SHOES,LIGHT EM UP 2 J,BLK/GRY,17
B43675,,ADID,ADIDAS,237,WMNS RUNNING,CLOUDFOAM PURE,MAROON,2
B44699,,ADID,ADIDAS,112,MENS BASKETBALL     ,HOOPS 2.0,BLA/WHI,1
B44828,,ADID,ADIDAS,237,WMNS RUNNING,QUESTAR RIDE,INK,2
B44846,,ADID,ADIDAS,237,WMNS RUNNING,ENERGY CLOUD V,BLK/SLV,2
B44850,,ADID,ADIDAS,237,WMNS RUNNING,ENERGY CLOUD V,AQUA,2
B47313,,ADID,ADIDAS,645,W. BRAND SWEAT SHIRT,ESS LIN FZ HD,CORPNK/BLK,20
B47328,,ADID,ADIDAS,645,W. BRAND SWEAT SHIRT,SP ID OH HOOD,GREY,20
B54124,,ADID,ADIDAS,133,MENS RUNNING,SPEED TRAINER 3.0,BLACK,1
B72765,,ADID,ADIDAS,112,MENS BASKETBALL     ,CRAZY BOUNCE,ONIX/WHT,1
B72767,,ADID,ADIDAS,112,MENS BASKETBALL     ,CRAZY BOUNCE,NAV/BLU,1
B72824,,ADID,ADIDAS,159,M BASEBALL,ENERGY BOOST ICON 2,NAVY/WHT,1
B72887,,ADID,ADIDAS,353,KIDS SHOES,DUAL THREAT BB 2,RED/BLK,17
B74645,,ADID,ADIDAS,353,KIDS SHOES,BB9TIS K,BLK/PNK,17
B752N-101,,ASIC,ASICS,241,WMNS FITNESS/X-TRAIN,TACTIC 2,WHI/SIL,2
B75743,,ADID,ADIDAS,353,KIDS SHOES,HOOPS MID 2.0 K,BLK,17
