Str,Vend,Vend_Desc,sku,Description,StyCol,OnHand_Qty,OnHand_AvgCost,OnHand_AvgCost_Val,OnHand_AvgCost_PctRpt,OnHand_Age,YTD_Qty,YTD_Sales,YTD_Sales_PctRpt,YTD_Mkdn_Pct,YTD_Profit,YTD_Profit_PctRpt,YTD_GP_Pct,YTD_ROI,YTD_Turns,PriorYr_YTD_Qty,PriorYr_YTD_Sales,PriorYr_YTD_Sales_PctChg,PriorYr_YTD_Profit,PriorYr_YTD_Profit_PctChg,PriorYr_YTD_OnHandCostValue,PriorYr_YTD_OnHandCostValue_PctChg
1,ADID,ADIDAS,G64957,PREDITO LZ,WHT/GLD,1,30.25,30.25,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.25,0
1,ADID,ADIDAS,G65054,GOLETTO IV,BLK/PNK,3,13.2,39.6,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6,0
1,ADID,ADIDAS,G65056,GOLETTO IV,BLK,2,13.2,26.4,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6,-33.3
1,ADID,ADIDAS,G65135,PUNTERO VIII,BLK/WHT,0,13.2,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,-99.9
1,ADID,ADIDAS,G65868,ISOLATION,WHT/SLV,1,27.5,27.5,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,0
1,ADID,ADIDAS,G65956,NXT LVL SPD K,BLK,1,24,24,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
1,ADID,ADIDAS,G66069,LIQUID 2,BLK/PRP,2,34.5,69,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,-50
1,ADID,ADIDAS,G67040,FILTHY SPEED,BLK,3,34.32,102.96,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.96,0
1,ADID,ADIDAS,G67076,FILTHY QUICK MID D,BLK,2,50.16,100.32,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.32,0
1,ADID,ADIDAS,G67077,FLITHYQUICK MID,ROY/WHT,1,52.25,52.25,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.25,0
1,ADID,ADIDAS,G67168,CHANGEUP MD 2 K,BLK/RED,-1,13.75,-13.75,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.75,0
1,ADID,ADIDAS,G67426,CRAZY SHADOW 2,BLK/HIRER,1,52.8,52.8,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.6,-50
1,ADID,ADIDAS,G80858,SPDTRICK HOODY,BLK/GRN,1,16.25,16.25,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.25,0
1,ADID,ADIDAS,G83670,TF DIG SHORT,BLU,1,12,12,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
1,ADID,ADIDAS,G90141,TF BASE LS,NEWNAV,1,7.5,7.5,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,-50
1,ADID,ADIDAS,G90144,TF BASE SS,COB/COB,1,7.5,7.5,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0
1,ADID,ADIDAS,G92900,QUE 4 SHORT,BLK/PNK,0,7.39,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,-99.9
1,ADID,ADIDAS,G95949,GOLETTO,BLK/BLU,1,11.8,11.8,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,-50
1,ADID,ADIDAS,G95949X,GOLETTO,BLK/BLU,3,11.8,35.4,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.4,0
1,ADID,ADIDAS,G96377,ADIFAST K,BLK/TES,3,20.74,62.22,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.7,-40
1,ADID,ADIDAS,G96380,ADIFAST K,BLU/GRN,7,20.74,145.18,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.18,0
1,ADID,ADIDAS,G96386,ADIFAST K,PNK/GRN,12,20.74,248.88,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.36,-14.3
1,ADID,ADIDAS,G96395,ADIFAST CF I,PNK/BLU,6,16.8,100.8,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.8,0
1,ADID,ADIDAS,G96590,F10 TRX FG,BL/EL,4,21.45,85.8,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.8,0
1,ADID,ADIDAS,G96877,ADIFAST K,BLK/RED,7,16.8,117.6,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.6,0
1,ADID,ADIDAS,G98250,DAILY DOUBLE 4,BLK,1,21.45,21.45,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.45,0
